death_date,region,Age,Gender
1/3/2023,West Bank,15,M
1/2/2023,West Bank,21,M
1/2/2023,West Bank,17,M
1/14/2023,West Bank,19,M
12/22/2022,West Bank,23,M
12/11/2022,West Bank,15,F
12/8/2022,West Bank,19,M
12/8/2022,West Bank,26,M
12/8/2022,West Bank,46,M
12/8/2022,West Bank,16,M
12/7/2022,West Bank,32,M
12/5/2022,West Bank,22,M
12/2/2022,West Bank,23,M
12/1/2022,West Bank,34,M
12/1/2022,West Bank,22,M
11/30/2022,West Bank,27,M
11/29/2022,West Bank,45,M
11/29/2022,West Bank,22,M
11/29/2022,West Bank,19,M
11/29/2022,West Bank,21,M
11/29/2022,West Bank,44,M
11/22/2022,West Bank,16,M
11/23/2022,West Bank,23,M
11/21/2022,West Bank,17,M
11/15/2022,West Bank,18,M
11/14/2022,West Bank,14,F
11/9/2022,West Bank,29,M
11/9/2022,West Bank,15,M
11/5/2022,West Bank,18,M
11/3/2022,West Bank,20,M
11/3/2022,West Bank,14,M
11/3/2022,West Bank,28,M
11/3/2022,West Bank,41,M
11/2/2022,West Bank,54,M
10/28/2022,West Bank,34,M
10/28/2022,West Bank,50,M
10/25/2022,West Bank,19,M
10/25/2022,West Bank,31,M
10/25/2022,West Bank,26,M
10/25/2022,West Bank,34,M
10/25/2022,West Bank,26,M
10/23/2022,West Bank,32,M
10/22/2022,West Bank,32,M
10/21/2022,West Bank,19,M
10/14/2022,West Bank,22,M
10/16/2022,West Bank,30,M
10/14/2022,West Bank,25,M
10/14/2022,West Bank,42,M
10/12/2022,West Bank,17,M
10/8/2022,West Bank,18,M
10/8/2022,West Bank,17,M
10/7/2022,West Bank,14,M
10/7/2022,West Bank,17,M
10/5/2022,West Bank,21,M
10/3/2022,West Bank,18,M
10/3/2022,West Bank,20,M
10/1/2022,West Bank,17,M
9/28/2022,West Bank,27,M
9/28/2022,West Bank,30,M
9/28/2022,West Bank,25,M
10/10/2022,West Bank,12,M
9/28/2022,West Bank,27,M
10/20/2022,West Bank,16,M
9/25/2022,West Bank,22,M
9/24/2022,West Bank,36,M
9/22/2022,Israel,23,M
9/15/2022,West Bank,17,M
9/14/2022,West Bank,21,M
9/14/2022,West Bank,23,M
9/8/2022,West Bank,16,M
9/7/2022,West Bank,20,M
9/11/2022,West Bank,24,M
9/6/2022,West Bank,28,M
9/5/2022,West Bank,19,M
9/2/2022,West Bank,19,M
9/1/2022,West Bank,27,M
8/19/2022,West Bank,58,M
8/18/2022,West Bank,19,M
8/15/2022,West Bank,20,M
8/23/2022,West Bank,25,M
8/9/2022,West Bank,32,M
8/9/2022,West Bank,16,M
8/9/2022,West Bank,18,M
8/9/2022,West Bank,16,M
8/7/2022,Gaza Strip,19,M
8/7/2022,Gaza Strip,26,M
8/8/2022,Gaza Strip,21,M
8/7/2022,Gaza Strip,27,M
8/7/2022,Gaza Strip,16,M
8/7/2022,Gaza Strip,16,M
8/7/2022,Gaza Strip,3,M
8/7/2022,Gaza Strip,13,M
8/7/2022,Gaza Strip,15,M
8/6/2022,Gaza Strip,35,M
8/6/2022,Gaza Strip,46,M
8/6/2022,Gaza Strip,41,M
8/6/2022,Gaza Strip,13,M
8/6/2022,Gaza Strip,30,M
8/6/2022,Gaza Strip,50,F
8/6/2022,Gaza Strip,30,F
8/6/2022,Gaza Strip,23,M
8/6/2022,Gaza Strip,27,M
8/6/2022,Gaza Strip,18,M
8/9/2022,Gaza Strip,42,M
8/6/2022,Gaza Strip,28,M
1/26/2023,Gaza Strip,10,M
8/5/2022,Gaza Strip,22,F
8/5/2022,Gaza Strip,5,F
8/5/2022,Gaza Strip,50,M
8/5/2022,Gaza Strip,23,M
8/5/2022,Gaza Strip,28,M
8/5/2022,Gaza Strip,34,M
8/11/2022,Gaza Strip,10,F
8/5/2022,Gaza Strip,27,M
8/5/2022,Gaza Strip,25,M
8/5/2022,Gaza Strip,50,M
8/5/2022,Gaza Strip,38,M
8/1/2022,West Bank,16,M
7/29/2022,West Bank,59,M
11/23/2022,West Bank,30,M
7/24/2022,West Bank,28,M
7/24/2022,West Bank,24,M
7/6/2022,West Bank,20,M
7/3/2022,West Bank,17,M
6/29/2022,West Bank,25,M
6/25/2022,West Bank,16,M
6/19/2022,West Bank,53,M
6/17/2022,West Bank,22,M
6/17/2022,West Bank,26,M
6/17/2022,West Bank,20,M
6/9/2022,West Bank,28,M
6/2/2022,West Bank,16,M
6/2/2022,West Bank,29,M
6/11/2022,West Bank,37,M
6/1/2022,West Bank,26,M
6/1/2022,West Bank,30,F
5/27/2022,West Bank,14,M
5/25/2022,West Bank,16,M
5/21/2022,West Bank,16,M
5/15/2022,West Bank,41,M
5/11/2022,West Bank,16,M
5/11/2022,West Bank,51,F
5/8/2022,West Bank,27,M
4/30/2022,West Bank,26,M
4/27/2022,West Bank,21,M
4/26/2022,West Bank,19,M
4/21/2022,West Bank,18,M
4/15/2022,West Bank,17,M
4/14/2022,West Bank,28,M
4/14/2022,West Bank,30,M
4/14/2022,West Bank,46,M
4/13/2022,West Bank,19,M
4/13/2022,West Bank,16,M
4/13/2022,West Bank,32,M
4/11/2022,Israel,40,M
4/11/2022,West Bank,16,M
4/10/2022,West Bank,19,M
4/10/2022,West Bank,44,F
4/10/2022,West Bank,25,F
4/18/2022,West Bank,19,F
4/9/2022,West Bank,24,M
4/8/2022,Israel,28,M
4/2/2022,West Bank,28,M
4/2/2022,West Bank,34,M
4/2/2022,West Bank,24,M
4/1/2022,West Bank,28,M
3/31/2022,West Bank,24,M
3/31/2022,West Bank,16,M
3/29/2022,Israel,26,M
3/15/2022,West Bank,20,M
3/15/2022,West Bank,16,M
3/7/2022,West Bank,22,M
3/6/2022,West Bank,18,M
3/6/2022,West Bank,15,M
3/1/2022,West Bank,22,M
3/1/2022,West Bank,18,M
3/1/2022,West Bank,18,M
3/9/2022,West Bank,23,M
2/22/2022,West Bank,13,M
2/15/2022,West Bank,19,M
2/13/2022,West Bank,16,M
2/8/2022,West Bank,21,M
2/8/2022,West Bank,26,M
2/8/2022,West Bank,21,M
1/17/2022,West Bank,39,M
1/12/2022,West Bank,78,M
1/6/2022,West Bank,20,M
12/31/2021,West Bank,36,M
12/22/2021,West Bank,25,M
12/21/2021,West Bank,25,M
12/13/2021,West Bank,31,M
12/10/2021,West Bank,32,M
12/6/2021,West Bank,15,M
12/4/2021,West Bank,25,M
11/21/2021,West Bank,42,M
11/16/2021,West Bank,26,M
11/5/2021,West Bank,15,M
10/14/2021,West Bank,14,M
9/30/2021,West Bank,20,M
9/30/2021,Gaza Strip,39,M
9/30/2021,West Bank,30,F
9/26/2021,West Bank,27,M
9/26/2021,West Bank,32,M
9/26/2021,West Bank,26,M
9/26/2021,West Bank,22,M
9/26/2021,West Bank,15,M
9/24/2021,West Bank,28,M
9/10/2021,West Bank,50,M
9/2/2021,Gaza Strip,27,M
8/31/2021,West Bank,39,M
8/24/2021,West Bank,15,M
8/25/2021,Gaza Strip,31,M
8/28/2021,Gaza Strip,13,M
8/16/2021,West Bank,18,M
8/16/2021,West Bank,19,M
8/16/2021,West Bank,19,M
8/16/2021,West Bank,20,M
8/6/2021,West Bank,38,M
8/11/2021,West Bank,24,M
7/29/2021,West Bank,19,M
7/28/2021,West Bank,11,M
7/27/2021,West Bank,41,M
7/23/2021,West Bank,17,M
7/3/2021,West Bank,21,M
6/16/2021,West Bank,29,F
6/17/2021,West Bank,15,M
6/12/2021,West Bank,26,F
6/11/2021,West Bank,16,M
6/10/2021,West Bank,23,M
6/10/2021,West Bank,26,M
6/10/2021,West Bank,23,M
5/28/2021,West Bank,25,M
5/25/2021,West Bank,25,M
5/24/2021,West Bank,17,M
5/20/2021,Gaza Strip,35,F
5/20/2021,Gaza Strip,22,M
5/20/2021,Gaza Strip,23,M
5/20/2021,Gaza Strip,26,M
5/19/2021,Gaza Strip,32,M
6/1/2022,Gaza Strip,40,M
5/19/2021,Gaza Strip,31,M
5/19/2021,Gaza Strip,10,F
5/19/2021,Gaza Strip,20,M
5/19/2021,Gaza Strip,22,M
5/19/2021,Gaza Strip,32,M
5/19/2021,West Bank,34,F
5/19/2021,Gaza Strip,63,M
5/18/2021,West Bank,16,M
5/20/2021,West Bank,29,M
5/18/2021,Gaza Strip,19,M
5/24/2021,Gaza Strip,22,M
5/18/2021,West Bank,20,M
5/18/2021,West Bank,25,M
5/18/2021,West Bank,31,M
5/17/2021,Gaza Strip,30,M
5/17/2021,Gaza Strip,31,M
5/17/2021,Gaza Strip,23,M
5/17/2021,Gaza Strip,24,M
5/17/2021,Gaza Strip,42,M
5/17/2021,Gaza Strip,10,F
5/17/2021,Gaza Strip,54,M
5/17/2021,Gaza Strip,28,M
5/17/2021,Gaza Strip,18,M
5/17/2021,Gaza Strip,13,M
5/17/2021,Gaza Strip,36,M
5/17/2021,West Bank,17,M
5/16/2021,Gaza Strip,62,M
5/16/2021,Gaza Strip,89,M
5/16/2021,Gaza Strip,84,F
5/16/2021,Gaza Strip,48,F
5/16/2021,Gaza Strip,29,F
5/16/2021,Gaza Strip,17,M
5/16/2021,Gaza Strip,79,M
5/16/2021,Gaza Strip,5,F
5/16/2021,Gaza Strip,49,M
5/16/2021,Gaza Strip,9,F
5/16/2021,Gaza Strip,38,F
5/16/2021,Gaza Strip,42,F
5/16/2021,Gaza Strip,5,F
5/16/2021,Gaza Strip,23,M
5/16/2021,Gaza Strip,15,M
5/16/2021,Gaza Strip,14,F
5/16/2021,Gaza Strip,9,F
5/16/2021,Gaza Strip,44,M
5/16/2021,Gaza Strip,22,M
5/16/2021,Gaza Strip,28,M
5/16/2021,Gaza Strip,19,F
5/16/2021,Gaza Strip,0,M
5/16/2021,Gaza Strip,41,M
5/16/2021,Gaza Strip,32,F
5/16/2021,Gaza Strip,12,F
5/16/2021,Gaza Strip,3,M
5/16/2021,Gaza Strip,8,M
5/16/2021,Gaza Strip,47,F
5/16/2021,Gaza Strip,13,F
5/16/2021,Gaza Strip,19,F
5/16/2021,Gaza Strip,40,F
5/16/2021,Gaza Strip,73,F
5/16/2021,Gaza Strip,21,F
5/16/2021,Gaza Strip,82,F
5/16/2021,Gaza Strip,41,F
5/16/2021,Gaza Strip,9,M
5/16/2021,Gaza Strip,13,M
5/16/2021,Gaza Strip,11,F
5/16/2021,Gaza Strip,15,F
5/16/2021,Gaza Strip,48,M
5/16/2021,Gaza Strip,39,M
5/16/2021,Gaza Strip,66,M
5/16/2021,Gaza Strip,54,M
5/16/2021,Gaza Strip,2,M
5/16/2021,Gaza Strip,4,M
6/3/2021,Gaza Strip,45,F
5/16/2021,Gaza Strip,25,M
5/16/2021,Gaza Strip,30,M
5/16/2021,Gaza Strip,27,M
5/16/2021,Gaza Strip,23,M
5/16/2021,Gaza Strip,39,M
5/16/2021,West Bank,42,M
5/16/2021,Gaza Strip,49,M
5/16/2021,Gaza Strip,19,M
5/16/2021,Gaza Strip,28,M
6/2/2021,West Bank,34,M
5/15/2021,West Bank,25,M
5/15/2021,Gaza Strip,34,M
6/3/2021,Gaza Strip,24,M
5/15/2021,Gaza Strip,18,M
5/15/2021,Gaza Strip,17,M
5/15/2021,Gaza Strip,26,M
5/15/2021,Gaza Strip,37,M
5/15/2021,West Bank,30,M
5/15/2021,Gaza Strip,30,F
5/15/2021,Gaza Strip,5,M
5/15/2021,Gaza Strip,10,M
5/15/2021,Gaza Strip,10,M
5/15/2021,Gaza Strip,9,M
5/15/2021,Gaza Strip,7,F
5/15/2021,Gaza Strip,34,F
5/15/2021,Gaza Strip,12,M
5/15/2021,Gaza Strip,7,M
5/15/2021,Gaza Strip,5,M
5/15/2021,Gaza Strip,18,M
5/14/2021,Gaza Strip,12,M
7/26/2021,West Bank,22,M
5/14/2021,Gaza Strip,32,M
5/14/2021,Gaza Strip,26,M
5/14/2021,Gaza Strip,28,M
5/14/2021,Gaza Strip,22,M
5/14/2021,Gaza Strip,34,M
5/14/2021,Gaza Strip,0,M
5/14/2021,Gaza Strip,8,M
5/14/2021,Gaza Strip,6,F
5/14/2021,Gaza Strip,26,F
5/14/2021,Gaza Strip,25,M
5/14/2021,Gaza Strip,36,M
5/14/2021,Gaza Strip,32,M
5/16/2021,West Bank,27,M
5/14/2021,West Bank,38,M
5/14/2021,West Bank,40,M
5/14/2021,West Bank,23,M
5/14/2021,West Bank,20,M
5/14/2021,West Bank,30,M
5/14/2021,West Bank,20,M
5/14/2021,West Bank,27,M
5/14/2021,West Bank,19,M
5/14/2021,Gaza Strip,23,M
5/14/2021,Gaza Strip,44,F
5/14/2021,Gaza Strip,24,M
5/13/2021,Gaza Strip,66,F
5/13/2021,Gaza Strip,7,M
5/13/2021,Gaza Strip,4,M
5/13/2021,Gaza Strip,36,F
5/13/2021,Gaza Strip,39,M
5/13/2021,Gaza Strip,63,M
5/13/2021,Gaza Strip,6,M
5/13/2021,Gaza Strip,2,M
5/13/2021,Gaza Strip,20,M
5/13/2021,Gaza Strip,0,M
5/13/2021,Gaza Strip,25,F
5/13/2021,Gaza Strip,17,F
5/13/2021,Gaza Strip,47,F
5/13/2021,Gaza Strip,27,F
5/13/2021,Gaza Strip,39,F
5/13/2021,Gaza Strip,13,F
5/19/2021,Gaza Strip,20,M
5/13/2021,Gaza Strip,17,M
5/15/2021,Gaza Strip,22,M
5/13/2021,Gaza Strip,65,F
5/13/2021,Gaza Strip,0,M
5/13/2021,Gaza Strip,29,M
5/13/2021,Gaza Strip,21,F
5/13/2021,Gaza Strip,35,M
5/13/2021,Gaza Strip,37,M
5/13/2021,Gaza Strip,21,M
5/13/2021,Gaza Strip,2,F
5/13/2021,Gaza Strip,26,F
5/13/2021,Gaza Strip,18,F
5/13/2021,Gaza Strip,24,F
5/13/2021,Gaza Strip,22,F
5/13/2021,Gaza Strip,51,M
5/13/2021,Gaza Strip,14,M
5/13/2021,Gaza Strip,20,M
5/13/2021,Gaza Strip,24,M
5/17/2021,Gaza Strip,22,M
5/13/2021,Gaza Strip,24,M
5/27/2021,Gaza Strip,33,M
5/12/2021,Gaza Strip,49,F
5/12/2021,Gaza Strip,28,F
5/12/2021,Gaza Strip,57,M
5/12/2021,Gaza Strip,37,M
5/12/2021,Gaza Strip,22,M
5/12/2021,Gaza Strip,48,M
5/12/2021,Gaza Strip,37,M
5/12/2021,Gaza Strip,55,M
5/12/2021,Gaza Strip,28,M
5/12/2021,Gaza Strip,66,M
5/12/2021,Gaza Strip,59,F
5/12/2021,Gaza Strip,46,M
5/12/2021,Gaza Strip,66,M
5/12/2021,Gaza Strip,31,M
5/12/2021,Gaza Strip,10,M
5/12/2021,Gaza Strip,13,M
5/12/2021,Gaza Strip,2,F
5/12/2021,Gaza Strip,13,F
5/12/2021,Gaza Strip,43,M
5/12/2021,Gaza Strip,41,M
5/12/2021,Gaza Strip,31,F
5/12/2021,Gaza Strip,4,M
5/12/2021,Gaza Strip,59,M
5/12/2021,Gaza Strip,56,M
5/12/2021,Gaza Strip,40,M
5/12/2021,Gaza Strip,56,M
5/12/2021,Gaza Strip,65,M
5/12/2021,Gaza Strip,40,M
5/12/2021,Gaza Strip,36,M
5/12/2021,Gaza Strip,37,M
5/12/2021,Gaza Strip,40,M
5/12/2021,Gaza Strip,29,M
5/12/2021,Gaza Strip,39,M
5/12/2021,Gaza Strip,36,M
5/12/2021,Gaza Strip,33,M
5/12/2021,Gaza Strip,26,M
5/12/2021,Gaza Strip,31,M
5/12/2021,Gaza Strip,26,M
5/12/2021,Gaza Strip,26,M
5/12/2021,Gaza Strip,24,M
5/12/2021,Gaza Strip,29,M
5/12/2021,West Bank,35,M
5/12/2021,West Bank,27,M
5/12/2021,West Bank,16,M
5/12/2021,Gaza Strip,17,M
5/16/2021,West Bank,14,M
5/12/2021,Gaza Strip,64,M
5/12/2021,Gaza Strip,25,M
5/12/2021,Gaza Strip,28,M
5/12/2021,Gaza Strip,28,M
5/11/2021,Gaza Strip,34,M
5/11/2021,Gaza Strip,29,M
5/11/2021,Gaza Strip,33,M
5/11/2021,Gaza Strip,33,M
5/18/2021,Gaza Strip,2,F
5/11/2021,Gaza Strip,15,F
5/11/2021,Gaza Strip,44,M
5/11/2021,Gaza Strip,40,F
5/11/2021,Gaza Strip,21,M
5/11/2021,Gaza Strip,18,M
5/11/2021,Gaza Strip,18,M
5/11/2021,Gaza Strip,58,F
5/11/2021,West Bank,37,M
5/11/2021,Gaza Strip,48,M
5/11/2021,Gaza Strip,37,M
5/10/2021,Gaza Strip,26,M
6/15/2021,Gaza Strip,36,M
5/10/2021,Gaza Strip,27,M
5/10/2021,Gaza Strip,25,M
5/10/2021,Gaza Strip,23,M
