source,target,value
Middle,IDPs at Government Shelters,16000.0
Middle,IDPs at UNRWA Shelters,129000.0
Middle,IDPs at Government Shelters,16000.0
Middle,IDPs at UNRWA Shelters,131000.0
Middle,IDPs at Government Shelters,16000.0
Middle,IDPs at UNRWA Shelters,135000.0
Middle,IDPs at Government Shelters,16000.0
Middle,IDPs at UNRWA Shelters,139000.0
Middle,IDPs at Government Shelters,16000.0
Middle,IDPs at UNRWA Shelters,142000.0
Middle,IDPs at Government Shelters,20000.0
Middle,IDPs at UNRWA Shelters,147000.0
Middle,IDPs at Government Shelters,21000.0
Middle,IDPs at UNRWA Shelters,161000.0
Middle,IDPs at Government Shelters,21000.0
Middle,IDPs at UNRWA Shelters,171000.0
Middle,IDPs at Government Shelters,21000.0
Middle,IDPs at UNRWA Shelters,174000.0
Middle,IDPs at Government Shelters,21000.0
Middle,IDPs at UNRWA Shelters,183000.0
Middle,IDPs at Government Shelters,22000.0
Middle,IDPs at UNRWA Shelters,183000.0
Middle,IDPs at Government Shelters,23000.0
Middle,IDPs at UNRWA Shelters,188000.0
Middle,IDPs at Government Shelters,23000.0
Middle,IDPs at UNRWA Shelters,194000.0
Middle,IDPs at Government Shelters,23000.0
Middle,IDPs at UNRWA Shelters,199000.0
Middle,IDPs at Government Shelters,25000.0
Middle,IDPs at UNRWA Shelters,199000.0
Middle,IDPs at Government Shelters,25000.0
Middle,IDPs at UNRWA Shelters,202000.0
Middle,IDPs at Government Shelters,25000.0
Middle,IDPs at UNRWA Shelters,207000.0
Middle,IDPs at Government Shelters,26000.0
Middle,IDPs at UNRWA Shelters,208000.0
Middle,IDPs at Government Shelters,27000.0
Middle,IDPs at UNRWA Shelters,210000.0
Middle,IDPs at Government Shelters,27000.0
Middle,IDPs at UNRWA Shelters,214000.0
Middle,IDPs at Government Shelters,27000.0
Middle,IDPs at UNRWA Shelters,215000.0
Middle,IDPs at Government Shelters,28000.0
Middle,IDPs at UNRWA Shelters,221000.0
Middle,IDPs at Government Shelters,28000.0
Middle,IDPs at UNRWA Shelters,223000.0
Middle,IDPs at Government Shelters,28000.0
Middle,IDPs at UNRWA Shelters,223000.0
Middle,IDPs at Government Shelters,28000.0
Middle,IDPs at UNRWA Shelters,228000.0
Middle,IDPs at Government Shelters,28000.0
Middle,IDPs at UNRWA Shelters,228000.0
Middle,IDPs at Government Shelters,29000.0
Middle,IDPs at UNRWA Shelters,228000.0
Middle,IDPs at Government Shelters,29000.0
Middle,IDPs at UNRWA Shelters,228000.0
Middle,IDPs at Government Shelters,30000.0
Middle,IDPs at UNRWA Shelters,228000.0
Middle,IDPs at Government Shelters,30000.0
Middle,IDPs at UNRWA Shelters,258000.0
Middle,IDPs at Government Shelters,30000.0
Middle,IDPs at UNRWA Shelters,258000.0
Middle,IDPs at Government Shelters,30000.0
Middle,IDPs at UNRWA Shelters,258000.0
Middle,IDPs at Government Shelters,30000.0
Middle,IDPs at UNRWA Shelters,258000.0
Middle,IDPs at Government Shelters,30000.0
Middle,IDPs at UNRWA Shelters,258000.0
Middle,IDPs at Government Shelters,30000.0
Middle,IDPs at UNRWA Shelters,328000.0
Middle,IDPs at Government Shelters,30000.0
Middle,IDPs at UNRWA Shelters,332000.0
Middle,IDPs at Government Shelters,30000.0
Middle,IDPs at UNRWA Shelters,332000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,329000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,329000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,329000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,329000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,329000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,329000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,329000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,371000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,371000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,376000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,380000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,390000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,390000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,391000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,423000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,423000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,423000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,423000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,423000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,423000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,698000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,698000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,698000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,698000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,698000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,698000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,510000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,482000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,482000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,482000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,487000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,326000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,285000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,236000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,210000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,208000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,208000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,207000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,207000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,209000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,211000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,211000.0
Middle,IDPs at Government Shelters,31000.0
Middle,IDPs at UNRWA Shelters,259000.0
Middle,IDPs at Government Shelters,31000.0
Khan Younis,IDPs at UNRWA Shelters,14000.0
Khan Younis,IDPs at UNRWA Shelters,32000.0
Khan Younis,IDPs at UNRWA Shelters,40000.0
Khan Younis,IDPs at UNRWA Shelters,45000.0
Khan Younis,IDPs at UNRWA Shelters,51000.0
Khan Younis,IDPs at Government Shelters,1000.0
Khan Younis,IDPs at UNRWA Shelters,75000.0
Khan Younis,IDPs at UNRWA Shelters,86000.0
Khan Younis,IDPs at Government Shelters,1000.0
Khan Younis,IDPs at UNRWA Shelters,100000.0
Khan Younis,IDPs at Government Shelters,2000.0
Khan Younis,IDPs at UNRWA Shelters,104000.0
Khan Younis,IDPs at Government Shelters,3000.0
Khan Younis,IDPs at UNRWA Shelters,115000.0
Khan Younis,IDPs at Government Shelters,3000.0
Khan Younis,IDPs at UNRWA Shelters,112000.0
Khan Younis,IDPs at Government Shelters,3000.0
Khan Younis,IDPs at UNRWA Shelters,117000.0
